"Format","AiM CSV File"
"Session","23.077°N, 113.530°E"
"Vehicle","A03_AF25"
"Racer","AGX_26"
"Championship",""
"Comment",""
"Date","Sunday, January 25, 2026"
"Time","1:57 PM"
"Sample Rate","20"
"Duration","89"
"Segment","Session"
"Beacon Markers","89"
"Segment Times","1:29.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"0.000","0.1650","10","0.0000","0.0000","1.9793","-62.6157","0.0000","10.5322","26.1000","0.1900","10000.0000","23.07722375","113.53033367","55.0312","11.2560","-71.5000","-72.1875","-72.2500","-71.9375","-73.8750","-72.8125","-72.9375","-74.4375","0.6255","0.5210","-2.0762","120.0625","0.0000","0.0000","-0.0098","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2352.0000","620.0000","2191.0000","962.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"0.050","0.1650","10","0.0000","0.0000","1.9793","-62.6157","0.0000","10.5322","26.1000","0.1900","10000.0000","23.07722375","113.53033367","55.0312","11.2560","-71.5000","-72.1875","-72.2500","-71.9375","-73.8750","-72.8125","-72.9375","-74.4375","0.6255","0.5210","-2.0762","120.0625","0.0000","0.0000","-0.0098","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2352.0000","620.0000","2191.0000","962.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0023"
"0.100","0.1650","10","0.0000","0.0000","1.9793","-62.6157","0.0000","10.5322","26.1000","0.1900","10000.0000","23.07722375","113.53033367","55.0312","11.2560","-71.5000","-72.1875","-72.2500","-71.9375","-73.8750","-72.8125","-72.9375","-74.4375","0.6250","0.5210","-2.0781","120.0625","0.0000","0.0000","-0.0098","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2352.0000","620.0000","2191.0000","962.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0046"
"0.150","0.1530","10","0.0000","0.0000","-3.2825","-11.6664","0.0000","10.5250","26.1000","0.1900","10000.0000","23.07722381","113.53033371","55.0312","11.2560","-71.5000","-72.1875","-72.2500","-71.9375","-73.8750","-72.8125","-72.9375","-74.4375","0.6248","0.5215","-2.0781","120.0625","0.0000","0.0000","-0.0098","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2352.0000","620.0000","2191.0000","962.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0068"
"0.200","0.1245","10","0.0000","0.0000","-15.8108","109.6414","0.0000","10.5078","26.1000","0.1900","10000.0000","23.07722398","113.53033381","55.0312","11.2560","-71.5000","-72.1875","-72.2500","-71.9375","-73.8750","-72.8125","-72.9375","-74.4375","0.6240","0.5215","-2.0781","120.0625","0.0000","0.0000","-0.0081","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2352.0000","620.0000","2191.0000","962.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0800","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0087"
"0.250","0.1067","10","0.0000","0.0000","-18.0209","133.7114","0.0000","10.5012","26.0790","0.1900","10000.0000","23.07722414","113.53033387","55.0312","11.2560","-71.6050","-72.5025","-71.7775","-72.0950","-73.6125","-73.8625","-72.4125","-73.4925","0.6221","0.5210","-2.0781","120.0625","0.0000","0.0000","-0.0029","0.0000","582.1000","0.0000","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2351.6843","619.2105","2190.6843","961.3684","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0695","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0103"
"0.300","0.1036","10","0.0000","0.0000","-5.9823","23.5005","0.0000","10.5090","26.0290","0.1900","10000.0000","23.07722431","113.53033387","55.0286","11.2547","-71.5200","-72.3525","-72.3700","-72.9650","-74.1400","-74.0625","-72.3650","-73.6800","0.6206","0.5210","-2.0781","120.0677","0.0000","0.0000","0.0000","0.0000","582.0674","0.0007","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2350.1052","616.5789","2189.6316","959.2632","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0563","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0118"
"0.350","0.0880","10","0.0000","0.0000","-11.2869","-21.8516","0.0000","10.5081","26.0000","0.1921","10000.0000","23.07722447","113.53033390","55.0156","11.2480","-71.4475","-73.1000","-72.1850","-73.8600","-74.2500","-74.2200","-72.6375","-75.1675","0.6208","0.5210","-2.0781","120.0938","0.0000","0.0000","0.0000","0.0000","582.0148","0.0017","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.0000","2349.0000","614.1579","2188.7896","958.0000","31.0000","3.0000","1.0000","31.0000","29.0000","-0.0000","-0.0195","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0131"
