"Format","AiM CSV File"
"Session","23.077°N, 113.530°E"
"Vehicle","A03_AF25"
"Racer","Yihan Du"
"Championship",""
"Comment","26.1.25 鏈変汉璺戝姩 鍏瓧"
"Date","Sunday, January 25, 2026"
"Time","11:14 AM"
"Sample Rate","20"
"Duration","77"
"Segment","Session"
"Beacon Markers","77"
"Segment Times","1:17.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"0.000","1.3751","9","0.0000","0.0000","1.4599","-85.7251","0.0000","13.9055","23.0000","0.1500","10000.0000","23.07707571","113.53032309","44.8125","11.3280","-84.1875","-84.8125","-84.8125","-87.1250","-87.8750","-88.0625","-87.8750","-86.9375","0.6470","0.5361","-2.1055","118.4375","272.0000","260.0000","2.7146","2.6068","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0000","37.0000","0.0000","0.0000","-19.0000","1989.0000","466.0000","2514.0000","963.0000","30.0000","7.0000","7.0000","27.0000","26.0000","1.5480","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"0.050","1.3751","9","0.0000","0.0000","1.4599","-85.7251","0.0000","13.9055","23.0000","0.1500","10000.0000","23.07707571","113.53032309","44.8125","11.3280","-84.1875","-84.8125","-84.8125","-87.1250","-87.8750","-88.0625","-87.8750","-86.9375","0.6604","0.5522","-2.0879","118.4375","272.0000","260.0000","2.7146","2.6068","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0000","37.0000","0.0000","0.0000","-19.0000","1989.0000","466.0000","2514.0000","963.0000","30.0000","7.0000","7.0000","27.0000","26.0000","1.5480","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0191"
"0.100","1.3751","9","0.0000","0.0000","1.4599","-85.7251","0.0000","13.9055","23.0000","0.1500","10000.0000","23.07707571","113.53032309","44.8125","11.3280","-84.1875","-84.8125","-84.8125","-87.1250","-87.8750","-88.0625","-87.8750","-86.9375","0.6802","0.5557","-2.0781","118.4375","272.0000","260.0000","2.7146","2.6068","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0000","37.0000","0.0000","0.0000","-19.0000","1989.0000","466.0000","2514.0000","963.0000","30.0000","7.0000","7.0000","27.0000","26.0000","1.5480","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0382"
"0.150","1.3751","9","0.0000","0.0000","1.4599","-85.7251","0.0000","13.9055","23.0000","0.1500","10000.0000","23.07707571","113.53032309","44.8125","11.3280","-84.1875","-84.8125","-84.8125","-87.1250","-87.8750","-88.0625","-87.8750","-86.9375","0.6824","0.5376","-2.1025","118.4375","272.0000","260.0000","2.7146","2.6068","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0000","37.0000","0.0000","0.0000","-19.0000","1989.0000","466.0000","2514.0000","963.0000","30.0000","7.0000","7.0000","27.0000","26.0000","1.5480","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0573"
"0.200","1.4132","9","-0.0027","0.0109","1.3761","-86.1181","0.0000","13.9058","22.9880","0.1500","10000.0000","23.07707571","113.53032304","44.8125","11.3280","-84.1875","-84.8125","-84.8125","-87.1250","-87.8750","-88.0625","-87.8750","-86.9375","0.6797","0.5269","-2.1113","118.4375","277.8947","265.7263","2.7328","2.6415","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","28.0000","37.0000","0.0000","0.0000","-19.0000","1989.0000","466.4737","2514.0000","963.9474","30.0000","7.0000","7.0000","27.0000","26.0000","1.5480","0.6400","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0766"
"0.250","1.5720","9","-0.0138","0.0562","1.0268","-87.7554","0.0000","13.9068","22.9380","0.1500","10000.0000","23.07707571","113.53032282","44.8125","11.3280","-83.9875","-85.4625","-84.6625","-86.4250","-87.2750","-86.5625","-85.8750","-87.0875","0.6807","0.5337","-2.1182","118.4375","296.3158","283.6211","2.7895","2.7498","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.9474","37.5263","0.0000","0.0000","-19.5263","1978.4736","467.0000","2514.0000","965.0000","30.0000","7.0000","7.0000","27.0000","26.0000","1.6128","0.7940","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0975"
"0.300","1.7331","9","-0.0212","0.0912","0.8545","-89.1984","0.0000","13.9104","22.8880","0.1512","10000.0000","23.07707573","113.53032259","44.8167","11.3275","-84.5375","-84.9750","-84.9750","-85.8500","-87.1750","-85.7375","-85.7250","-88.6250","0.6870","0.5439","-2.1270","118.4375","317.8316","305.2737","2.8506","2.8538","550.2000","0.7060","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.0526","37.9474","0.0000","0.0000","-20.0526","1968.6316","465.9011","2511.2527","963.9011","30.0000","7.0000","7.0000","27.0000","26.0000","1.7833","1.1993","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.1205"
"0.350","1.9013","9","-0.0170","0.0937","1.2424","-90.0261","0.0000","13.9215","22.8380","0.1562","10000.0000","23.07707583","113.53032236","44.8427","11.3241","-84.4375","-85.0125","-85.4125","-86.5000","-86.7375","-86.3250","-85.7125","-86.9500","0.6973","0.5413","-2.1182","118.4375","343.6211","332.1158","2.9176","2.9518","550.2000","0.7825","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","26.5789","37.4211","0.0000","0.0000","-20.5789","1964.9474","465.0000","2509.0957","962.9042","30.0957","7.0000","7.0000","27.0000","26.0000","1.9448","1.3064","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.1457"
